[RESULT] Embedding: BAAI/bge-base-en-v1.5 | Avg AUC=0.813, Avg F1=0.699
[RESULT] Embedding: BAAI/bge-base-en-v1.5 | Avg AUC=0.831, Avg F1=0.765
[RESULT] Embedding: BAAI/bge-base-en-v1.5 | Avg AUC=0.844, Avg F1=0.791
[RESULT] Embedding: BAAI/bge-base-en-v1.5 | Avg AUC=0.842, Avg F1=0.792
[RESULT] Embedding: BAAI/bge-base-en-v1.5 | Avg AUC=0.843, Avg F1=0.793
[RESULT] Embedding: BAAI/bge-m3 | Avg AUC=0.858, Avg F1=0.794
[RESULT] Embedding: BAAI/bge-m3 | Avg AUC=0.847, Avg F1=0.787
[RESULT] Embedding: BAAI/bge-m3 | Avg AUC=0.846, Avg F1=0.795
[RESULT] Embedding: BAAI/bge-m3 | Avg AUC=0.837, Avg F1=0.795
[RESULT] Embedding: BAAI/bge-m3 | Avg AUC=0.838, Avg F1=0.796
[RESULT] Embedding: BAAI/bge-large-en-v1.5 | Avg AUC=0.749, Avg F1=0.713
[RESULT] Embedding: BAAI/bge-large-en-v1.5 | Avg AUC=0.810, Avg F1=0.755
[RESULT] Embedding: BAAI/bge-large-en-v1.5 | Avg AUC=0.835, Avg F1=0.770
[RESULT] Embedding: BAAI/bge-large-en-v1.5 | Avg AUC=0.837, Avg F1=0.776
[RESULT] Embedding: BAAI/bge-large-en-v1.5 | Avg AUC=0.840, Avg F1=0.781
[RESULT] Embedding: bert-base-uncased | Avg AUC=0.794, Avg F1=0.734
[RESULT] Embedding: bert-base-uncased | Avg AUC=0.816, Avg F1=0.778
[RESULT] Embedding: bert-base-uncased | Avg AUC=0.803, Avg F1=0.774
[RESULT] Embedding: bert-base-uncased | Avg AUC=0.783, Avg F1=0.764
[RESULT] Embedding: bert-base-uncased | Avg AUC=0.779, Avg F1=0.743
[RESULT] Embedding: bert-large-uncased | Avg AUC=0.868, Avg F1=0.831
[RESULT] Embedding: bert-large-uncased | Avg AUC=0.802, Avg F1=0.757
[RESULT] Embedding: bert-large-uncased | Avg AUC=0.778, Avg F1=0.731
[RESULT] Embedding: bert-large-uncased | Avg AUC=0.772, Avg F1=0.732
[RESULT] Embedding: bert-large-uncased | Avg AUC=0.778, Avg F1=0.706
[RESULT] Embedding: roberta-base | Avg AUC=0.558, Avg F1=0.574
[RESULT] Embedding: roberta-base | Avg AUC=0.555, Avg F1=0.602
[RESULT] Embedding: roberta-base | Avg AUC=0.554, Avg F1=0.633
[RESULT] Embedding: roberta-base | Avg AUC=0.567, Avg F1=0.624
[RESULT] Embedding: roberta-base | Avg AUC=0.572, Avg F1=0.644
[RESULT] Embedding: roberta-large | Avg AUC=0.657, Avg F1=0.694
[RESULT] Embedding: roberta-large | Avg AUC=0.608, Avg F1=0.678
[RESULT] Embedding: roberta-large | Avg AUC=0.624, Avg F1=0.679
[RESULT] Embedding: roberta-large | Avg AUC=0.637, Avg F1=0.681
[RESULT] Embedding: roberta-large | Avg AUC=0.641, Avg F1=0.687
